file,variable,latitude,longitude,ecco_mean,omg_mean,difference
CTD_20160923_155926.nc,SALT,79.8961410522461,-64.80135345458984,32.21248,32.001377,-0.21110153
CTD_20160929_152248.nc,SALT,71.13201141357422,-20.44584083557129,33.73604,34.2025,0.46646118
CTD_20160923_151432.nc,SALT,81.22933959960938,-61.95423889160156,33.168625,33.476307,0.30768204
CTD_20160924_155010.nc,SALT,73.89958190917969,-61.89455032348633,33.55954,34.209934,0.65039444
CTD_20160924_183048.nc,SALT,73.57273864746094,-56.10219955444336,31.982674,34.158775,2.1761017
CTD_20160928_130536.nc,SALT,74.74935150146484,-60.68661880493164,33.82987,34.31378,0.48391342
CTD_20160915_153525.nc,SALT,70.909912109375,-53.680660247802734,33.66652,34.225838,0.55931854
CTD_20160913_165025.nc,SALT,66.50330352783203,-54.43424987792969,33.632805,33.69392,0.061115265
CTD_20160920_122449.nc,SALT,77.5922622680664,-4.6392598152160645,33.98102,34.772457,0.79143524
CTD_20160916_125444.nc,SALT,69.45733642578125,-55.95254135131836,33.367992,33.89206,0.5240669
CTD_20160915_163322.nc,SALT,70.45157623291016,-51.329410552978516,32.843575,34.301914,1.4583397
CTD_20160920_112656.nc,SALT,75.94011688232422,-13.91316032409668,33.419132,33.936813,0.5176811
CTD_20160914_115451.nc,SALT,68.60028076171875,-59.4669189453125,33.660633,34.093483,0.43284988
CTD_20160913_160633.nc,SALT,65.69866943359375,-53.545841217041016,33.40646,32.789364,-0.61709595
CTD_20160928_163025.nc,SALT,75.8584213256836,-65.66993713378906,33.68239,34.102135,0.4197464
CTD_20160928_162349.nc,SALT,75.78951263427734,-64.16692352294922,33.7702,34.31726,0.5470619
CTD_20160924_175043.nc,SALT,73.04736328125,-56.52695083618164,32.67004,34.207165,1.5371246
CTD_20160923_144620.nc,SALT,81.94595336914062,-61.63331985473633,33.40253,33.97761,0.5750809
CTD_20160921_102455.nc,SALT,75.00303649902344,-12.871800422668457,33.91372,34.58274,0.6690216
CTD_20160928_151950.nc,SALT,75.38986206054688,-60.444339752197266,33.706043,34.1889,0.48285675
CTD_20160921_121205.nc,SALT,78.79647827148438,-11.012399673461914,33.12686,33.765945,0.63908386
CTD_20160915_151827.nc,SALT,71.37798309326172,-53.41437911987305,33.611423,34.200993,0.5895691
CTD_20160929_143523.nc,SALT,73.19290924072266,-19.632070541381836,33.606846,34.283398,0.6765518
CTD_20160920_115839.nc,SALT,76.76226806640625,-8.171050071716309,33.451775,34.048626,0.59685135
CTD_20160924_181802.nc,SALT,73.26609802246094,-58.361351013183594,33.66777,34.26926,0.60149
CTD_20160928_144813.nc,SALT,75.24105072021484,-58.3537483215332,32.050335,33.168404,1.1180687
CTD_20160928_131325.nc,SALT,74.4440689086914,-60.89765167236328,33.77138,34.26717,0.49578857
CTD_20160922_104846.nc,SALT,78.64798736572266,-15.952179908752441,33.08489,32.590534,-0.49435425
CTD_20160924_165826.nc,SALT,72.45571899414062,-56.36309814453125,33.459114,33.840168,0.38105392
CTD_20160923_160651.nc,SALT,79.52752685546875,-65.62175750732422,33.11162,33.275383,0.16376114
CTD_20160928_153504.nc,SALT,75.67900085449219,-60.87548828125,33.409344,34.17454,0.76519775
CTD_20160914_141455.nc,SALT,70.6724624633789,-55.88935852050781,33.601345,34.25044,0.6490936
CTD_20160913_162647.nc,SALT,65.68377685546875,-55.759830474853516,34.016174,34.381664,0.36548996
CTD_20160921_103300.nc,SALT,74.73490905761719,-11.542570114135742,34.592415,34.915115,0.3227005
CTD_20160923_145124.nc,SALT,81.7805404663086,-62.558189392089844,33.570934,34.094555,0.5236206
CTD_20160915_153339.nc,SALT,70.98304748535156,-53.68986129760742,33.397797,34.092216,0.69441986
CTD_20160928_142906.nc,SALT,74.86601257324219,-57.5461311340332,31.934956,34.08086,2.1459045
CTD_20160922_103448.nc,SALT,77.84123229980469,-13.817540168762207,33.422997,33.85092,0.4279251
CTD_20160924_180242.nc,SALT,72.96781158447266,-58.74578857421875,33.50217,34.095303,0.593132
CTD_20160928_140957.nc,SALT,74.60173797607422,-56.62839126586914,31.939548,32.2297,0.2901497
CTD_20160929_142312.nc,SALT,72.48603057861328,-20.59450912475586,33.440514,34.000015,0.55950165
CTD_20160929_151235.nc,SALT,71.78589630126953,-19.544719696044922,33.780952,34.291477,0.51052475
CTD_20160915_160431.nc,SALT,71.04283142089844,-52.04393005371094,33.67657,34.305637,0.62906647
CTD_20160928_160847.nc,SALT,75.66309356689453,-62.38827896118164,33.81822,34.31548,0.49726105
CTD_20160914_111417.nc,SALT,67.19596862792969,-57.41143035888672,33.702293,34.10267,0.40037537
CTD_20160924_162449.nc,SALT,72.75496673583984,-60.396331787109375,33.54061,34.254246,0.7136345
CTD_20160915_134947.nc,SALT,68.6171875,-57.177330017089844,33.514984,33.98293,0.4679451
CTD_20160928_155851.nc,SALT,76.12547302246094,-61.15406036376953,32.00186,34.0825,2.080639
CTD_20160914_124551.nc,SALT,70.17900085449219,-60.10319900512695,33.49287,34.191307,0.69843674
CTD_20160923_171627.nc,SALT,77.53661346435547,-66.70382690429688,33.482067,33.412884,-0.06918335
CTD_20160922_121442.nc,SALT,80.1156234741211,-10.571310043334961,32.810146,32.720394,-0.0897522
CTD_20160928_150756.nc,SALT,75.6568832397461,-58.79804992675781,32.1558,33.976723,1.8209229
CTD_20160914_132943.nc,SALT,71.91532897949219,-61.05385971069336,33.80232,34.344265,0.5419464
CTD_20160924_153515.nc,SALT,73.8951416015625,-63.431610107421875,33.61641,34.252045,0.6356354
CTD_20160924_180802.nc,SALT,73.19146728515625,-59.24620056152344,33.49032,34.149593,0.65927505
CTD_20160923_170038.nc,SALT,77.33934783935547,-69.66768646240234,33.4051,33.98849,0.5833893
CTD_20160915_141520.nc,SALT,69.98339080810547,-57.903411865234375,33.39002,34.057636,0.6676178
CTD_20160923_145614.nc,SALT,81.61617279052734,-63.59251022338867,33.484737,34.29163,0.8068924
CTD_20160928_141542.nc,SALT,74.65450286865234,-57.040069580078125,31.939548,34.207886,2.2683372
CTD_20160924_173732.nc,SALT,73.21810150146484,-55.329071044921875,31.987183,33.880573,1.8933907
CTD_20160921_115419.nc,SALT,78.66815948486328,-16.327680587768555,33.2776,33.420128,0.14252853
CTD_20160924_182547.nc,SALT,73.44432830810547,-56.95917892456055,32.112953,34.225098,2.1121445
CTD_20160928_161552.nc,SALT,75.99571228027344,-62.75408935546875,33.498837,34.05771,0.5588722
CTD_20160916_150626.nc,SALT,76.28843688964844,-70.9336166381836,33.697113,34.214314,0.51720047
CTD_20160915_133457.nc,SALT,68.2027587890625,-57.13261032104492,33.556084,34.006477,0.45039368
CTD_20160922_101407.nc,SALT,77.1334228515625,-10.464119911193848,33.51147,34.2047,0.6932297
CTD_20160928_145641.nc,SALT,75.34163665771484,-58.95586013793945,33.32696,34.01413,0.6871681
CTD_20160916_154551.nc,SALT,77.29149627685547,-74.77397918701172,33.557777,34.107937,0.55015945
CTD_20160924_191450.nc,SALT,75.16873168945312,-63.99668884277344,33.646378,33.830566,0.18418884
CTD_20160923_145953.nc,SALT,81.59517669677734,-64.8337173461914,33.289436,34.247948,0.95851135
CTD_20160915_155110.nc,SALT,70.89916229248047,-52.73075866699219,33.637035,34.108215,0.47117996
CTD_20160920_113720.nc,SALT,75.97241973876953,-12.271638870239258,33.287636,34.010475,0.72283936
CTD_20160929_145212.nc,SALT,72.145751953125,-18.418970108032227,33.82336,34.497578,0.6742172
CTD_20160914_134856.nc,SALT,71.58447265625,-58.66114044189453,33.3749,33.913784,0.5388832
CTD_20161008_135045.nc,SALT,66.77661895751953,-29.53717041015625,33.220974,34.54599,1.325016
CTD_20161008_133100.nc,SALT,67.00041198730469,-32.49510955810547,33.280113,34.475994,1.1958809
CTD_20161009_111610.nc,SALT,62.650630950927734,-40.956539154052734,33.627728,34.592403,0.9646759
CTD_20161001_130325.nc,SALT,64.7303695678711,-37.84822082519531,34.294907,34.681805,0.38689804
CTD_20161006_123413.nc,SALT,69.36966705322266,-21.10318946838379,33.780468,34.67696,0.896492
CTD_20161008_140716.nc,SALT,67.2475814819336,-27.507919311523438,33.473976,33.799892,0.3259163
CTD_20161009_102814.nc,SALT,60.32202911376953,-42.43178176879883,33.87204,34.526054,0.6540146
CTD_20161006_154036.nc,SALT,65.59575653076172,-34.37281036376953,33.105507,34.799797,1.6942902
CTD_20161001_131642.nc,SALT,65.2414779663086,-38.96968078613281,32.8572,34.290535,1.4333344
CTD_20161010_134357.nc,SALT,71.50250244140625,-27.199050903320312,32.485336,34.165028,1.6796913
CTD_20161001_142124.nc,SALT,63.999691009521484,-40.24872970581055,33.537724,34.705605,1.167881
CTD_20161010_141636.nc,SALT,70.48050689697266,-24.858549118041992,33.439945,33.962696,0.52275085
CTD_20161001_140256.nc,SALT,63.7069091796875,-38.50613021850586,34.519318,34.790028,0.27071
CTD_20161008_131859.nc,SALT,66.22308349609375,-32.37194061279297,33.049507,34.521282,1.471775
CTD_20161008_123052.nc,SALT,65.03338623046875,-34.55849075317383,34.507122,34.97517,0.4680481
CTD_20161006_135139.nc,SALT,68.41264343261719,-26.985660552978516,33.13303,33.092632,-0.040397644
CTD_20161010_130625.nc,SALT,70.41316223144531,-28.13920021057129,32.89029,34.261864,1.3715744
CTD_20161009_104056.nc,SALT,61.01049041748047,-42.02989959716797,33.859673,34.697422,0.8377495
CTD_20161006_133736.nc,SALT,68.89002990722656,-25.31641960144043,32.90367,33.59301,0.6893387
CTD_20161006_141711.nc,SALT,67.66412353515625,-28.436250686645508,33.155327,33.721924,0.566597
CTD_20161006_143705.nc,SALT,67.30458068847656,-31.037410736083984,33.426086,34.72025,1.2941628
CTD_20161010_143719.nc,SALT,70.25071716308594,-23.898889541625977,33.3981,34.0285,0.6303978
CTD_20161008_151346.nc,SALT,66.54276275634766,-26.713529586791992,33.84018,34.713154,0.8729744
CTD_20161006_134355.nc,SALT,68.68363189697266,-26.027009963989258,32.87911,32.642925,-0.23618317
CTD_20161008_122644.nc,SALT,64.81307220458984,-34.28757095336914,34.80757,34.97058,0.16300964
CTD_20161001_142632.nc,SALT,63.72182083129883,-40.21302032470703,33.58702,34.526794,0.93977356
CTD_20161008_135820.nc,SALT,67.06559753417969,-28.680810928344727,33.319965,33.963425,0.6434593
CTD_20161006_124400.nc,SALT,69.8781509399414,-20.10003089904785,33.6974,34.460133,0.76273346
CTD_20161009_111107.nc,SALT,62.45035934448242,-41.33028030395508,33.896862,34.50789,0.61102676
CTD_20161006_124931.nc,SALT,70.23584747314453,-20.109149932861328,33.6586,34.472767,0.814167
CTD_20161001_132730.nc,SALT,64.75775909423828,-39.86336898803711,32.99427,33.975334,0.98106384
CTD_20161009_110607.nc,SALT,62.27724075317383,-40.90196990966797,34.151432,34.83711,0.6856766
